MMDDHH,PM10,PM25,O3,NO2,CO,SO2
2006-01-01,28,18,0.039,0.009,0.3,0.002
2006-01-02,19,14,0.041,0.007,0.3,0.002
2006-01-03,15,13,0.043,0.006,0.3,0.002
2006-01-04,16,13,0.042,0.006,0.3,0.002
2006-01-05,14,11,0.041,0.008,0.3,0.003
2006-01-06,14,10,0.04,0.009,0.3,0.003
2006-01-07,15,10,0.038,0.014,0.3,0.002
2006-01-08,20,10,0.034,0.019,0.3,0.002
2006-01-09,28,15,0.032,0.022,0.4,0.003
2006-01-10,28,12,0.035,0.017,0.4,0.003
2006-01-11,29,9,0.038,0.015,0.4,0.003
2006-01-12,32,11,0.039,0.012,0.3,0.003
2006-01-13,32,11,0.038,0.015,0.3,0.003
2006-01-14,,,,,,
2006-01-15,,,,,,
2006-01-16,,,0.038,0.02,0.4,0.003
2006-01-17,27,12,0.041,0.022,0.4,0.003
2006-01-18,24,14,0.048,0.016,0.4,0.003
2006-01-19,25,12,0.048,0.014,0.3,0.003
2006-01-20,26,14,0.043,0.02,0.4,0.003
2006-01-21,28,15,0.049,0.017,0.4,0.003
2006-01-22,25,13,0.045,0.02,0.4,0.003
2006-01-23,29,14,0.035,0.023,0.4,0.003
2006-01-24,25,15,0.028,0.027,0.4,0.003
