egg_weight,acc_food,weight
69,10602,4128
76,10640,4104
76,10898,4119
71,10384,4127
71,10709,4112
72,10768,4124
61,10077,4093
69,10574,4114
64,10256,4104
52,9722,4055
71,10512,4120
61,10199,4093
69,10298,4114
56,10030,4063
74,10694,4126
71,10709,4112
54,9846,4059
72,10508,4138
67,10435,4112
61,10126,4087
77,10803,4131
72,10494,4131
79,10823,4108
69,10657,4121
77,10757,4108
57,10143,4074
53,9869,4060
63,10271,4096
72,10538,4117
67,10327,4125
52,9836,4060
80,10624,4112
57,9982,4079
74,10738,4111
57,9982,4079
66,10538,4114
63,10435,4115
78,10766,4096
63,10246,4115
54,9998,4054
72,10652,4138
53,9763,4060
53,9963,4054
74,10782,4133
54,9922,4070
71,10496,4112
77,10880,4131
53,9879,4065
68,10394,4109
68,10408,4116
75,10630,4115
78,10642,4112
75,10855,4115
80,11024,4112
54,10020,4065
69,10685,4135
72,10610,4117
55,9910,4075
72,10494,4131
73,10578,4121
56,9940,4074
58,10128,4078
57,9994,4085
80,10608,4104
57,9915,4074
65,10440,4115
54,10030,4070
64,10332,4110
76,10640,4104
52,9670,4055
65,10245,4115
69,10395,4128
63,10183,4115
72,10724,4138
72,10566,4131
63,10346,4102
80,10848,4104
77,10787,4123
56,9940,4074
56,9952,4080
67,10287,4105
58,10060,4073
55,9888,4064
73,10594,4129
55,9845,4070
72,10682,4117
79,10918,4116
77,10911,4108
69,10547,4135
66,10246,4100
72,10422,4131
58,10152,4090
78,10610,4096
65,10142,4096
79,10949,4092
64,10320,4104
59,9936,4083
78,10596,4089
60,10264,4082
64,10192,4104
55,10053,4064
64,10358,4091
80,10752,4096
57,10086,4074
65,10467,4096
64,10294,4091
69,10657,4121
76,10656,4112
61,10065,4087
63,10423,4109
80,10944,4112
64,10268,4110
72,10480,4124
65,10505,4115
59,9960,4095
79,10981,4108
59,10101,4077
63,10297,4109
62,10142,4110
57,10074,4068
60,10240,4100
66,10208,4114
52,9774,4055
53,9720,4065
63,10360,4109
63,10171,4109
58,10012,4078
71,10540,4134
58,10198,4084
68,10436,4130
68,10544,4116
63,10208,4096
54,9998,4054
72,10796,4138
52,9700,4044
77,10603,4108
58,10002,4073
74,10604,4118
67,10313,4118
80,10880,4120
52,9764,4050
67,10220,4105
56,9874,4069
53,9847,4049
74,10842,4126
60,10204,4082
59,10054,4083
60,10240,4100
69,10643,4114
80,10960,4120
64,10332,4110
66,10378,4100
79,10870,4092
64,10230,4091
52,9784,4060
67,10380,4118
62,10166,4091
79,10965,4100
58,10070,4078
56,9884,4074
74,10708,4133
57,10153,4079
63,10246,4115
58,9944,4073
79,10649,4100
80,10688,4104
77,10787,4123
69,10547,4135
58,10012,4078
52,9660,4050
53,9985,4065
53,9910,4054
67,10581,4118
77,10803,4131
58,10002,4073
54,9890,4054
75,10826,4138
56,9952,4080
61,10004,4087
66,10444,4100
52,9712,4050
71,10583,4120
71,10398,4134
54,9890,4054
64,10448,4104
80,10928,4104
54,9750,4065
75,10510,4130
58,10140,4084
69,10409,4135
77,10927,4116
69,10685,4135
63,10208,4096
61,10248,4087
58,9944,4073
55,9965,4075
54,9998,4054
75,10885,4130
54,9912,4065
73,10696,4107
75,10780,4115
80,10912,4096
67,10447,4118
52,9930,4055
80,10928,4104
70,10526,4108
79,10602,4116
72,10538,4117
56,9818,4069
64,10396,4110
56,9818,4069
75,10676,4138
66,10326,4107
64,10230,4091
55,9988,4059
71,10455,4127
57,10108,4085
54,9782,4054
73,10448,4129
73,10696,4107
52,9868,4050
71,10682,4134
68,10272,4116
66,10392,4107
60,10204,4082
75,10721,4123
78,10610,4096
80,10800,4120
74,10782,4133
59,10243,4089
68,10626,4123
71,10611,4134
66,10312,4100
69,10519,4121
68,10300,4130
54,9890,4054
64,10460,4110
67,10394,4125
68,10436,4130
77,10619,4116
57,9915,4074
79,10886,4100
59,10019,4095
67,10327,4125
64,10436,4098
72,10408,4124
59,9983,4077
76,10686,4127
57,9846,4068
53,9963,4054
55,9768,4059
70,10708,4129
58,10082,4084
57,9982,4079
62,10166,4091
80,10832,4096
56,9986,4069
52,9940,4060
70,10330,4115
69,10340,4135
58,9966,4084
59,10125,4089
74,10842,4126
78,10532,4096
74,10856,4133
65,10337,4096
59,10219,4077
68,10340,4116
56,10064,4080
70,10540,4115
54,9858,4065
76,10518,4119
74,10768,4126
63,10145,4096
77,10633,4123
62,10042,4091
56,10086,4063
62,10242,4098
68,10572,4130
68,10326,4109
71,10611,4134
71,10597,4127
54,9804,4065
79,10791,4092
68,10572,4130
73,10477,4107
78,10830,4089
58,10036,4090
57,9858,4074
72,10408,4124
65,10414,4102
71,10496,4112
75,10646,4123
78,10752,4089
64,10128,4104
71,10709,4112
72,10696,4124
68,10626,4123
68,10368,4130
67,10354,4105
